study_id,finding_id,source_ids,study,design,population,sample_size,setting,intervention,comparator,outcome,direction,measure,author_claim,evidence_statement,reviewer_interpretation,certainty,locators,appraisal_framework,overall_judgment,applicability
study_f3eac377b358,finding_080240898f10,"[""src_418b4c4f1a21""]",Lucas et al. perceived automation experiment,2 x 2 experiment varying automation framing and actual control method,adult participants in a virtual-human health-screening interview,239,semi-structured interview with the visually constant Ellie virtual human,told that the interviewer was fully computer-controlled,told that the interviewer was tele-operated by a human,behavioral willingness to disclose,positive,automated sadness detection and blind transcript ratings,Computer framing increased behavioral indications of willingness to disclose.,Participants in the computer-framed condition displayed more intense sadness and received higher blind-observer ratings of willingness to disclose in interview transcripts.,"Converging behavioral and observer measures strengthen the mechanism result, but willingness and emotional display are not evidence that disclosures were accurate or clinically valid.",moderate,"[{""page"": ""98-99"", ""section"": ""Results""}]",review-specific mixed-method risk-of-bias and applicability appraisal,moderate confidence,Strong mechanism evidence about perceived automation; indirect evidence about autonomous interviewer performance.
study_30c72d3e18b5,finding_09aa2df4aadb,"[""src_af8750017209""]",Jacobsen et al. theory-based probe experiment,split-plot comparison of four probe types across three research stages,64 U.S.-based English-speaking Prolific participants using desktop computers,64,online HCI survey interviews about technology stress,"descriptive, idiographic, clarifying, or explanatory LLM probes","other randomized probe groups across exploration, requirements, and evaluation tasks",response quality by probe type,heterogeneous,"coded informativeness, relevance, specificity, and clarity","Probe effectiveness depends on probe type and interview stage, with idiographic probes performing best overall.","Across 1,287 responses, explanatory probes were less relevant, specific, and clear than several alternatives; idiographic probes outperformed explanatory probes on multiple outcomes in requirements and evaluation stages, while informativeness showed no overall probe difference.",Adaptive follow-up is not a unitary treatment: the purpose and research stage of a probe materially condition response quality.,low to moderate,"[{""page"": ""8-12"", ""section"": ""5.1 Assessing Response Quality"", ""table"": ""Tables 5-6"", ""figure"": ""Figures 1-3""}]",review-specific mixed-method risk-of-bias and applicability appraisal,low-to-moderate confidence,Strong design evidence for selecting probes; limited generalization beyond short online HCI survey tasks.
study_a998602f1419,finding_1dcbe7299a29,"[""src_ca3e033a6b39""]",SimSensei automatic-versus-Wizard-of-Oz evaluation,comparative user study across separately recruited system cohorts,adult volunteers recruited through Craigslist and flyers,231,15-25 minute semi-structured health interview with the Ellie virtual human,fully automatic SimSensei Kiosk interviewer,Wizard-of-Oz virtual interviewer,"rapport, listening, and usability",negative,"post-interview listener item, System Usability Scale, and rapport measure",Automation still lagged the Wizard-of-Oz system on important interaction-quality measures.,"The automatic system scored lower for being a good listener (3.56 vs 4.10, d=0.61), system usability (68.68 vs 74.37, d=0.44), and rapport (75.43 vs 80.71, d=0.44), with differences marked p<.05.",A system can sustain interviews while still losing meaningful conversational quality when human control is removed.,low to moderate,"[{""page"": ""1067"", ""section"": ""Evaluation"", ""table"": ""Table 2""}]",review-specific mixed-method risk-of-bias and applicability appraisal,low confidence for causal effects; moderate confidence for feasibility,Directly relevant to embodied automated health interviewers and system-design tradeoffs.
study_43f7aee20aee,finding_2a2ec15b6671,"[""src_2a843bf69441""]",Barari et al. four-module conversational survey experiment,three-arm randomized web-survey experiment with four embedded question modules,"U.S. adults recruited from a proprietary non-probability panel and quota-sampled on age, gender, and education",1998,"Inca web conversational survey, fielded July 15-17, 2024","LLM-generated confirmation probes or elaboration/relevance probes, with live zero-shot coding",standardized questions without probes,live coding validity,mixed,"accuracy, precision, and recall against respondent confirmation and human coding",Off-the-shelf live coding performed moderately well but produced inflated false positives.,"Respondent-confirmed accuracy ranged from 66.1% to 96.2% across tasks; agreement with independent human coding was lower for several tasks, and respondents selected 'none of the above' less often.",Live coding is task-dependent and respondent confirmation is not a neutral gold standard because the confirmation interaction itself can induce acquiescence.,moderate,"[{""page"": ""14-15"", ""section"": ""5.1 Live Coding and Confirmation Probing"", ""table"": ""Tables 2-3""}]",review-specific mixed-method risk-of-bias and applicability appraisal,moderate confidence,Directly applicable to LLM-assisted web survey interviewing; less direct for long-form qualitative or clinical interviews.
study_43f7aee20aee,finding_3a1cfaeb8fe1,"[""src_2a843bf69441""]",Barari et al. four-module conversational survey experiment,three-arm randomized web-survey experiment with four embedded question modules,"U.S. adults recruited from a proprietary non-probability panel and quota-sampled on age, gender, and education",1998,"Inca web conversational survey, fielded July 15-17, 2024","LLM-generated confirmation probes or elaboration/relevance probes, with live zero-shot coding",standardized questions without probes,respondent burden and experience,negative,"attrition, interview duration, and normalized experience ratings",AI probing imposed a small respondent-experience cost.,"Elaboration/relevance probing increased dropout by roughly 2-3 percentage points at the first question, doubled average completed-interview duration from about 3 to 6 minutes, and shifted ease, frustration, and satisfaction by less than 0.05 on normalized scales; confirmation probes had little effect.","Richer answers are not free: open-ended probing adds time and modest burden, while lightweight confirmation appears less costly.",moderate,"[{""page"": ""18-19"", ""section"": ""5.4 Effects of Probing on Respondent Experience"", ""figure"": ""Figures 4-5""}]",review-specific mixed-method risk-of-bias and applicability appraisal,moderate confidence,Directly applicable to LLM-assisted web survey interviewing; less direct for long-form qualitative or clinical interviews.
study_050d438c230f,finding_4de562b0429d,"[""src_5e242e942988""]",Sun et al. child witness interview experiment,randomized comparison of LLM-formulated and naive-human-formulated interview questions,78 Mandarin-speaking children aged 6-8,78,online interview after viewing a witnessed mock-event video,"real-time ChatGPT-3.5 question formulation, delivered by a human assistant",questions formulated and delivered by naive university-student interviewers,correct and false witnessed-event information,mixed positive,"blind-coded unique correct details, false details, and information per question",LLM-formulated interviews elicited information more efficiently and with less false information than naive human interviewers.,"LLM interviews elicited similar unique correct details (8.50 vs 7.50, p=.290), more unique correct information per question (0.90 vs 0.46, p<.001), and less false information overall, while asking 471 questions versus 872 in the human condition.","This is unusually direct validity evidence, but it evaluates LLM-formulated questions read by a human and compares against naive—not trained forensic—interviewers.",moderate,"[{""page"": ""12-14"", ""section"": ""Hypothesis 2 and exploratory analyses"", ""figure"": ""Figure 2""}]",review-specific mixed-method risk-of-bias and applicability appraisal,moderate confidence,Strong evidence about question formulation and objective recall; indirect for autonomous adult qualitative interviewing.
study_c52b507173f3,finding_75b8455efd88,"[""src_db7efbce68d9""]",Đuka and Njeguš conversational survey perception study,descriptive cross-sectional chatbot survey,200 Serbian students and employees aged 18-55,200,12-question rule-based Landbot survey distributed through WhatsApp,completion of a conversational survey chatbot,,chatbot familiarity and human-agent preference,negative toward chatbot,descriptive self-report percentages,Users in the Serbian sample remained unfamiliar with and distrustful of chatbots relative to human agents.,"Although 87% knew what a chatbot was, only 44% had used one; 88% preferred waiting for a human service agent, while 48% said they would use a brand lacking a human agent and 35% were unsure.","The study identifies a trust and familiarity barrier, but service-agent preference is not a direct test of research-interview preference and the descriptive sample offers no chatbot-versus-survey outcome comparison.",low,"[{""page"": ""325-326"", ""section"": ""4.2 Data Collection and 4.3 Result Analysis"", ""figure"": ""Figures 2-5""}]",review-specific mixed-method risk-of-bias and applicability appraisal,low confidence,Contextual trust and adoption evidence only; not an interviewer-effect estimate.
study_f3eac377b358,finding_8754dec41e52,"[""src_418b4c4f1a21""]",Lucas et al. perceived automation experiment,2 x 2 experiment varying automation framing and actual control method,adult participants in a virtual-human health-screening interview,239,semi-structured interview with the visually constant Ellie virtual human,told that the interviewer was fully computer-controlled,told that the interviewer was tele-operated by a human,evaluation apprehension,positive for disclosure,fear of self-disclosure and impression-management scales,Believing a virtual interviewer was automated reduced barriers to disclosure.,"Compared with human-operation framing, computer framing produced lower self-reported fear of self-disclosure and impression management.",Perceived machine agency can reduce evaluation apprehension even when the visible agent is held constant; this isolates a psychological mechanism rather than overall interviewer quality.,moderate,"[{""page"": ""98-99"", ""section"": ""Results""}]",review-specific mixed-method risk-of-bias and applicability appraisal,moderate confidence,Strong mechanism evidence about perceived automation; indirect evidence about autonomous interviewer performance.
study_a998602f1419,finding_9628531abdd5,"[""src_ca3e033a6b39""]",SimSensei automatic-versus-Wizard-of-Oz evaluation,comparative user study across separately recruited system cohorts,adult volunteers recruited through Craigslist and flyers,231,15-25 minute semi-structured health interview with the Ellie virtual human,fully automatic SimSensei Kiosk interviewer,Wizard-of-Oz virtual interviewer,self-reported willingness and comfort disclosing,no clear difference,post-interview Likert items,The fully automatic system retained the prototype's ability to support personal sharing.,"Automatic and Wizard-of-Oz cohorts were similar on willingness to share (4.07 vs 4.03), comfort sharing (3.80 vs 3.92), and feeling good talking (3.60 vs 3.69); reported differences were small and not marked significant.","Feasibility is supported, but the nonrandomized cross-cohort comparison does not establish equivalence or causal effects on disclosure.",low,"[{""page"": ""1067"", ""section"": ""Evaluation"", ""table"": ""Table 2""}]",review-specific mixed-method risk-of-bias and applicability appraisal,low confidence for causal effects; moderate confidence for feasibility,Directly relevant to embodied automated health interviewers and system-design tradeoffs.
study_9518cfba465b,finding_aae717fb0602,"[""src_6541b25ef96e""]",Geiecke and Jaravel matched modality expert evaluation,multi-modality comparative evaluation with blinded transcript graders,behavioral-lab interview respondents across five qualitative topics,20,"30-minute face-to-face, online text, or online voice interviews",GPT-4o AI interviewer using text or voice,trained human experts interviewing face-to-face or by online text chat,expert-rated interview transcript quality,AI voice comparable; AI text mixed,sociology PhD ratings relative to hypothetical expert benchmarks,"Short AI-led interviews approached or exceeded trained-human interview quality under matched online constraints, especially with voice input.","Against an online-text expert benchmark, mean grades were 3.93 for AI voice, 3.51 for human face-to-face, 2.98 for AI text, and 2.42 for human text; against a face-to-face benchmark they were 3.50, 3.53, 2.70, and 1.99 respectively, with 40 ratings per modality.","Blinded expert ratings support competitive transcript quality, but small modality cells, heterogeneous topics, and subjective benchmarks limit claims of equivalence.",low to moderate,"[{""page"": ""16-18"", ""section"": ""2.2.1 Comparison to human experts"", ""table"": ""Table II""}]",review-specific mixed-method risk-of-bias and applicability appraisal,low-to-moderate confidence,Direct comparison of AI and trained-human qualitative interview transcripts under online constraints.
study_43f7aee20aee,finding_c05f59d95f48,"[""src_2a843bf69441""]",Barari et al. four-module conversational survey experiment,three-arm randomized web-survey experiment with four embedded question modules,"U.S. adults recruited from a proprietary non-probability panel and quota-sampled on age, gender, and education",1998,"Inca web conversational survey, fielded July 15-17, 2024","LLM-generated confirmation probes or elaboration/relevance probes, with live zero-shot coding",standardized questions without probes,open-ended response quality,mixed positive,blind qualitative coding and textual information measures,Elaboration and relevance probes improved some dimensions of response quality but not others.,"Probing increased specificity and explanation for the two opinion questions and increased word count and Shannon entropy, but did not improve completeness, relevance, lexical diversity, or KL divergence consistently.",The experiment supports a selective enrichment effect—more detail and explanation—not a general improvement in informational novelty or every quality dimension.,moderate,"[{""page"": ""16-18"", ""section"": ""5.3 Effects of Elaboration and Relevance Probing"", ""figure"": ""Figures 2-3""}]",review-specific mixed-method risk-of-bias and applicability appraisal,moderate confidence,Directly applicable to LLM-assisted web survey interviewing; less direct for long-form qualitative or clinical interviews.
study_8db5261dbca4,finding_c742fb874412,"[""src_6541b25ef96e""]",Geiecke and Jaravel meaning-in-life randomized comparison,randomized AI-led interview versus open-text survey comparison,U.S. adults recruited on Prolific with quotas for population representation,462,online study about sources of meaning in life,AI-led qualitative interview,three open-text survey questions covering the interview outline,clarity of thought about meaning in life,positive,respondent self-assessment,AI-led interviewing improved respondents' clarity and produced richer material than open-text questions.,"In the randomized meaning-in-life study, 51.69% of AI-interview respondents said they could clearly pinpoint sources of meaning versus 41.18% in open text; 33.82% versus 41.57% said their thoughts were still evolving.","The comparison supports a reflective effect of the interview, although self-reported clarity is not an external validation of answer truth or qualitative depth.",moderate,"[{""page"": ""24-27"", ""section"": ""3.1 Measuring Meaning in Life"", ""table"": ""Table IV""}]",review-specific mixed-method risk-of-bias and applicability appraisal,moderate confidence for reflective effects,Direct for short online reflective interviews compared with open-text survey questions.
